"Player","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","id"
"Jahmyr Gibbs","RB","DET","1","1.0","0.0","RB01","RB01","0","4429795"
"Bijan Robinson","RB","ATL","2","2.0","0.0","RB02","RB02","0","4430807"
"Puka Nacua","WR","LA","3","3.8","0.8","WR01","WR02","1","4426515"
"Ja'Marr Chase","WR","CIN","4","3.2","-0.8","WR02","WR01","-1","4362628"
"Jaxon Smith-Njigba","WR","SEA","5","5.8","0.8","WR03","WR03","0","4430878"
"Christian McCaffrey","RB","SF","6","5.6","-0.4","RB03","RB03","0","3117251"
"Justin Jefferson","WR","MIN","7","11.6","4.6","WR04","WR05","1","4262921"
"Amon-Ra St Brown","WR","DET","8","8.2","0.2","WR05","WR04","-1","4374302"
"Jonathan Taylor","RB","IND","9","6.6","-2.4","RB04","RB04","0","4242335"
"CeeDee Lamb","WR","DAL","10","11.8","1.8","WR06","WR06","0","4241389"
"Saquon Barkley","RB","PHI","11","14.8","3.8","RB05","RB08","3","3929630"
"James Cook","RB","BUF","12","10.8","-1.2","RB06","RB05","-1","4379399"
"Ashton Jeanty","RB","LV","13","11.2","-1.8","RB07","RB07","0","4890973"
"Drake London","WR","ATL","14","17.0","3.0","WR07","WR07","0","4426502"
"Kenneth Walker","RB","KC","15","20.8","5.8","RB08","RB12","4","4567048"
"Chase Brown","RB","CIN","16","16.4","0.4","RB09","RB09","0","4362238"
"De'Von Achane","RB","MIA","17","11.0","-6.0","RB10","RB06","-4","4429160"
"Omarion Hampton","RB","LAC","18","16.4","-1.6","RB11","RB09","-2","4685382"
"Derrick Henry","RB","BAL","19","20.2","1.2","RB12","RB11","-1","3043078"
"Brock Bowers","TE","LV","20","21.4","1.4","TE01","TE02","1","4432665"
"AJ Brown","WR","NE","21","21.0","0.0","WR08","WR08","0","4047646"
"Jeremiyah Love","RB","ARI","22","23.4","1.4","RB13","RB13","0","4870808"
"Trey McBride","TE","ARI","23","20.2","-2.8","TE02","TE01","-1","4361307"
"George Pickens","WR","DAL","24","24.0","0.0","WR09","WR09","0","4426354"
"Nico Collins","WR","HOU","25","25.0","0.0","WR10","WR11","1","4258173"
"Chris Olave","WR","NO","26","28.0","2.0","WR11","WR12","1","4361370"
"Rashee Rice","WR","KC","27","24.2","-2.8","WR12","WR10","-2","4428331"
"Malik Nabers","WR","NYG","28","32.6","4.6","WR13","WR13","0","4595348"
"Breece Hall","RB","NYJ","29","31.2","2.2","RB14","RB16","2","4427366"
"Kyren Williams","RB","LA","30","30.4","0.4","RB15","RB15","0","4430737"
"Garrett Wilson","WR","NYJ","31","39.4","8.4","WR14","WR17","3","4569618"
"Devonta Smith","WR","PHI","32","35.2","3.2","WR15","WR14","-1","4241478"
"Javonte Williams","RB","DAL","33","32.4","-0.6","RB16","RB17","1","4361579"
"Josh Jacobs","RB","GB","34","29.4","-4.6","RB17","RB14","-3","4047365"
"Ladd McConkey","WR","LAC","35","48.4","13.4","WR16","WR20","4","4612826"
"Zay Flowers","WR","BAL","36","39.8","3.8","WR17","WR18","1","4429615"
"Travis Etienne","RB","NO","37","38.0","1.0","RB18","RB18","0","4239996"
"Emeka Egbuka","WR","TB","38","39.2","1.2","WR18","WR16","-2","4567750"
"Josh Allen","QB","BUF","39","25.2","-13.8","QB01","QB01","0","3918298"
